benchmark,optimizer,dimension,budget,seeds,median,mean,std,best,worst,max_evaluations_used
ackley,RandomSearch,10,3000,8,17.656264995849675,17.656463946542967,0.5448669337091054,16.87204692121922,18.49631134025938,3000
ackley,SimulatedAnnealing,10,3000,8,18.910677855258086,18.82641059028184,0.4839674409529869,18.032409367346165,19.271020257188116,3000
ackley,DifferentialEvolution,10,3000,8,14.734365611873779,15.313675505458034,1.2562474838356636,14.145440842228151,17.52315348834795,3000
ackley,RO-V2,10,3000,8,0.00928713660097813,0.010907410586522559,0.004427710059456196,0.006526986901562282,0.017126587023355455,2992
ackley,RO-V5,10,3000,8,0.003090172349597964,0.003318445830955419,0.0007577355251900767,0.0019882841351552827,0.004185517634837765,3000
rastrigin,RandomSearch,10,3000,8,78.63339912686683,77.82104969118892,7.2575371863577125,65.07869275694233,90.54970125575464,3000
rastrigin,SimulatedAnnealing,10,3000,8,55.66369887567669,58.26746091261882,18.202773977405343,34.63280356468967,81.66000755983693,3000
rastrigin,DifferentialEvolution,10,3000,8,78.77199779970005,78.34246092795698,6.709875823446265,68.06138235838887,88.13017813982742,3000
rastrigin,RO-V2,10,3000,8,7.994022542813717,9.303864188123912,4.467208625097215,3.0178224991836373,17.9428763531143,3000
rastrigin,RO-V5,10,3000,8,5.972941394644579,6.968064116342756,4.050377047725911,1.9906149033920428,13.932913409833773,2990
rosenbrock,RandomSearch,10,3000,8,18775.609575861337,20478.343860151086,12035.819975239814,4509.041742163936,38009.1194557991,3000
rosenbrock,SimulatedAnnealing,10,3000,8,13.001407076020705,67.68366427412558,101.97275703373808,10.240014851123608,304.35099687553856,3000
rosenbrock,DifferentialEvolution,10,3000,8,5460.696538363219,5305.037638155039,1838.008558913531,2501.4395848493505,7952.926384011084,3000
rosenbrock,RO-V2,10,3000,8,4.073742704581017,4.3694256973306205,3.578017867369376,0.030305039068357447,9.58855159579924,2992
rosenbrock,RO-V5,10,3000,8,4.8589915809329565,4.224477463513509,3.4314415625190775,0.016086803041992333,8.595574930872475,3000
